['Other Economic Sector', 'Certified', '90021', 'STYLE IN USA, INC.', 'Bookkeeping, Accounting, and Auditing Clerks', 'SOUTH KOREA']
['Hospitality', 'Certified', '90015', 'SUNG BAK SA CORPORATION', 'Cooks, Restaurant', 'SOUTH KOREA']
['Hospitality', 'Certified', '90012', 'RESTAURANT KOSHIJI', 'Chefs and Head Cooks', 'JAPAN']
['IT', 'Certified', '90025', 'SOA SOFTWARE, INC.', 'Software Developers, Applications', 'INDIA']
['Advanced Mfg', 'Certified', '90014', 'ABRAHAM SENGUL DBA HOUSE OF BAGUETTES', 'Jewelers and Precious Stone and Metal Workers', 'SYRIA']
['Other Economic Sector', 'Certified', '90057', 'EAST GATE KOREAN PRESBYTERIAN CHURCH', 'Directors, Religious Activities and Education', 'SOUTH KOREA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Other Economic Sector', 'Certified', '90005', 'JOONGANG DAILY NEWS CA, INC. DBA THE KOREA DAILY', 'Instructional Coordinators', 'SOUTH KOREA']
['', 'Certified', '90015', 'CIRCLE TRIM,INC.', 'Bookkeeping, Accounting, and Auditing Clerks', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90004', 'KSYLA INC.', 'Hairdressers, Hairstylists, and Cosmetologists', 'SOUTH KOREA']
['Retail', 'Certified', '90007', 'HAN NA, INC.', 'Bookkeeping, Accounting, and Auditing Clerks', 'SOUTH KOREA']
['Advanced Mfg', 'Certified', '90001', 'RAINBOW SUBLYMATION, INC.', 'Graphic Designers', 'SOUTH KOREA']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Environmental Engineers', 'INDIA']
['Other Economic Sector', 'Certified', '90067', 'INTERNATIONAL LEASE FINANCE CORPORATION', 'General and Operations Managers', 'SOUTH AFRICA']
['Other Economic Sector', 'Certified', '90057', 'LA OPEN DOOR PRESBYTERIAN CHURCH', 'Directors, Religious Activities and Education', 'SOUTH KOREA']
['Advanced Mfg', 'Certified', '90021', 'HAN CLOTHING, INC.', 'Procurement Clerks', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90021', 'EDS & CO INC', 'Executive Secretaries and Executive Administrative Assistants', 'SOUTH KOREA']
['Hospitality', 'Certified', '90012', 'KORAKU RESTAURANT', 'Cooks, Restaurant', 'JAPAN']
['Advanced Mfg', 'Certified', '90016', 'DREAMSCAPE LIGHTING MANUFACTURING INC.', 'Electric Motor, Power Tool, and Related Repairers', 'MEXICO']
['Other Economic Sector', 'Certified', '90066', 'DIGITAL ARTISTS AGENCY, INC.', 'Agents and Business Managers of Artists, Performers, and Athletes', 'AUSTRIA']
['Other Economic Sector', 'Certified', '90010', 'L.A. TRANSLATION AND INTERPRETATION', 'Interpreters and Translators', 'SOUTH KOREA']
['Automotive', 'Certified', '90045', 'SAKURA RENT A CAR, INC.', 'Market Research Analysts and Marketing Specialists*', 'JAPAN']
['Finance', 'Certified', '90006', 'JONATHAN PARK & ASSOCIATES, LLP', 'Accountants and Auditors', 'SOUTH KOREA']
['Hospitality', 'Certified', '90017', 'JJWAVE CORP.', 'Chefs and Head Cooks', 'SOUTH KOREA']
['Health Care', 'Certified', '90019', 'WAND TOUCH CORPORATION', 'Health Diagnosing and Treating Practitioners, All Other', 'CANADA']
['Other Economic Sector', 'Certified', '90094', 'BELKIN INTERNATIONAL, INC.', 'Market Research Analysts and Marketing Specialists*', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'SOUTHERN CALIFORNIA UNIVERSITY, S.O.M.A.', 'Health Specialties Teachers, Postsecondary', 'SOUTH KOREA']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Civil Engineers', 'IRAN']
['', 'Certified', '90045', 'VADA INVESTMENT CORPORATION', 'Food Service Managers', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90061', 'BUY4STORE.COM, INC.', 'Marketing Managers', 'TURKEY']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Marketing Managers', 'CANADA']
['Advanced Mfg', 'Certified', '90066', 'POWERFULL LIGHTING AND SHADING SYSTEMS', 'Operations Research Analysts', 'ISRAEL']
['Retail', 'Certified', '90020', 'ZION CITY INC', 'Marketing Managers', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90004', 'AMBASSADOR DOG AND CAT HOSPITAL', 'Veterinarians', 'INDIA']
['Construction', 'Certified', '90025', 'PRECISION BUILDERS, INC.', 'Architects, Except Landscape and Naval', 'MEXICO']
['Other Economic Sector', 'Certified', '90004', 'Y.K.HAIR CLUB INC.DBA HILLS BEAUTY CLUB', 'Hairdressers, Hairstylists, and Cosmetologists', 'SOUTH KOREA']
['Automotive', 'Certified', '90041', 'CALIFORNIA Z CARS, INC.', 'Automotive Service Technicians and Mechanics', 'PHILIPPINES']
['Other Economic Sector', 'Certified', '90071', 'NORTH AMERICAN REPRESENTATIVE OFFICE OF SHENZHEN, P.R. CHINA', 'Market Research Analysts and Marketing Specialists*', 'CHINA']
