['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['Health Care', 'Certified', '48201', 'UNIVERSITY PHYSICIAN GROUP', 'Physicians and Surgeons, All Other', 'DOMINICAN REPUBLIC']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['Automotive', 'Certified', '48211', 'AMERICAN AXLE & MANUFACTURING, INC.', 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'GHANA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'SERBIA AND MONTENEGRO']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['', 'Denied', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'CANADA']
['', 'Denied', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Denied', '48226', 'STRATEGIC STAFFING SOLUTIONS LC', 'Software Developers, Applications', 'INDIA']
['Aerospace', 'Denied', '48223', 'FUTURENET GROUP, INC.', 'Civil Engineers', 'INDIA']
['IT', 'Denied', '48202', 'VISION INFORMATION TECHNOLOGIES, INC.', 'Software Developers, Applications', 'INDIA']
['IT', 'Denied', '48226', 'STRATEGIC STAFFING SOLUTIONS LC', 'Network and Computer Systems Administrators*', 'INDIA']
['IT', 'Denied', '48226', 'STRATEGIC STAFFING SOLUTIONS LC', 'Software Developers, Applications', 'INDIA']
['IT', 'Withdrawn', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Withdrawn', '48226', 'COMPUWARE CORPORATION', 'Software Developers, Applications', 'CANADA']
['IT', 'Withdrawn', '48202', 'VISION INFORMATION TECHNOLOGIES, INC.', 'Software Developers, Applications', 'INDIA']
['Advanced Mfg', 'Withdrawn', '48202', 'CARACO PHARMACEUTICAL LABORATORIES, LTD.', 'Mechanical Engineers', 'INDIA']
['Finance', 'Withdrawn', '48265', 'AFI US LLC', 'Securities, Commodities, and Financial Services Sales Agents', 'GHANA']
['Finance', 'Withdrawn', '48265', 'AFI US LLC', 'Computer and Information Systems Managers', 'INDIA']
