Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Advanced Mfg,Certified,20852,ABC T-SHIRT CO,Screen Printing Machine Setters and Set-Up Operators,EL SALVADOR
Not Available,Certified,20850,COMPUTER PACKAGES INC.,Computer Programmers,PHILIPPINES
Retail,Certified,02346,KEYOUR INC.,First-Line Supervisors/Managers of Retail Sales Workers,INDIA
Other Economic Sector,Certified,63102,HELLMUTH OBATA + KASSABAUM; INC.,Architects; Except Landscape and Naval,INDIA
Not Available,Certified,20850,ADVANCED BIOSCIENCE LABORATORIES; INC.,Biochemists,INDIA
Advanced Mfg,Certified,75019,STMICROELECTRONICS; INC.,Electronics Engineers; Except Computer,INDIA
Hospitality,Certified,11930,STUARTS SEAFOOD MARKET; LTD.,Cooks; Restaurant,ECUADOR
Not Available,Certified,11206,MELISSAS BRIDAL SHOP,Retail Salespersons,ECUADOR
IT,Certified,98052,MICROSOFT CORPORATION,Computer Software Engineers; Applications,INDIA
Advanced Mfg,Certified,91748,ILY ENTERPRISE INC.,Logisticians,TAIWAN
Other Economic Sector,Certified,24092,SEVEN OAKS LANDSCAPES-HARDSCAPES; INC.,Landscaping and Groundskeeping Workers,MEXICO
IT,Certified,98052,MICROSOFT CORPORATION,Managers; All Other,INDIA
Not Available,Certified,10309,A RICHMOND; INC,Cooks; Short Order,MEXICO
Other Economic Sector,Certified,07970,TREE TECH; INC.,Tree Trimmers and Pruners,COSTA RICA
Automotive,Certified,11101,ALL LOCK & GLASS SERVICES INC,Retail Salespersons,ECUADOR
IT,Certified,30093,AMERICAN MEGATRENDS INC.;,Computer Software Engineers; Systems Software,INDIA
Hospitality,Certified,10021,MESKOURIS BROS; INC,Cooks; Short Order,MEXICO
Retail,Certified,72716-0215,WAL-MART STORES INC.,Computer Programmers,INDIA
Hospitality,Certified,08753,PTR ASSOCIATES LLC D/B/A PERKINS RESTAURANT & BAKERY,Cooks; Restaurant,MEXICO
Transportation,Certified,32819,MCA TRANSPORTATION; INC.,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,BRAZIL
Hospitality,Certified,20878,ROYAL FOOD INC. T/A MANHATTAN PIZZA & PASTA,Chefs and Head Cooks,CANADA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Sales Engineers,INDIA
Not Available,Certified,20876,NELSONS LAWN SERVICE INC,First-Line Supervisors and Manager/Supervisors - Landscaping Workers,BRAZIL
Not Available,Certified,79360,PETER BERGEN FARMS INC,General Farmworkers,CANADA
Hospitality,Certified,22207,SARAN INDIAN CUISINE,Cooks; Restaurant,INDIA
IT,Certified,03801,BOTTOMLINE TECHNOLOGIES,Computer Software Engineers; Applications,INDIA
Finance,Certified,10005,NYSE MARKET INC,Computer Software Engineers; Applications,INDIA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Software Engineers; Systems Software,BELGIUM
Other Economic Sector,Certified,10562,NANCY ADELMAN,Personal and Home Care Aides,ECUADOR
Hospitality,Certified,60559,KATYS DUMPLING HOUSE,Chefs and Head Cooks,CHINA
IT,Certified,61701,STAID LOGIC LLC,Computer Software Engineers; Applications,INDIA
Other Economic Sector,Certified,91030,MORNING BRIDGE INTERNATIONAL INC.,Financial Analysts,CHINA
Not Available,Certified,94065,ORACLE USA; INC.,Computer Software Engineers; Applications,INDIA
Health Care,Certified,46947,MEMORIAL HOSPITAL,Internists; General,ROMANIA
Not Available,Certified,49503,SPECTRUM HEALTH MEDICAL GROUP,Physicians and Surgeons; All Other,INDIA
Advanced Mfg,Certified,11206,QUALITY STRAPPING; INC.,Extruding and Drawing Machine Setters; Operators; and Tenders; Metal and Plastic,MEXICO
Other Economic Sector,Certified,48309,KCCM; INC.,Economists,SOUTH KOREA
Construction,Certified,20735,ABSOLUTE CONTRACTING SERVICES; INC.,Drywall and Ceiling Tile Installers,HONDURAS
Other Economic Sector,Certified,94706,DUANE OFFIELD RACING STABLES,Nonfarm Animal Caretakers,MEXICO
Other Economic Sector,Certified,07111,LEON M. BELL,Nannies,JAMAICA
Advanced Mfg,Certified,95134,CISCO SYSTEMS; INC.,Computer Software Engineers; Systems Software,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Financial Analysts,TAIWAN
IT,Certified,20171,ISTREAM SOLUTIONS INC,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,61016,IPSEN INC.,Industrial Production Managers,INDIA
Construction,Certified,10305,W.T. BUILDERS,Woodworkers; All Other,POLAND
Hospitality,Certified,60053,CHINA TOWN EXPRESS; INC.,Chefs and Head Cooks,CHINA
Not Available,Denied,77075,SESAME HUT #2,Chefs and Head Cooks,SOUTH KOREA
IT,Certified,75202,AT&T; INC.; AND ALL OF ITS SUBSIDIARIES AND AFFILIATES,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA
Construction,Certified,11372,MILLER GENERAL CONTRACTING LIMITED,Carpenters,MEXICO
IT,Certified,74120,NEW MEDIA WORX; INC.,Computer Support Specialists,SOUTH AFRICA
Retail,Certified,30354,HAPEVILLE FOOD MART; INC.,Bookkeeping; Accounting; and Auditing Clerks,INDIA
Other Economic Sector,Certified,77002,CONTINENTAL AIRLINES; INC.,Financial Analysts,HONDURAS
Not Available,Certified,90670,NISHIMOTO TRADING CO.; LTD.,Market Research Analysts,JAPAN
Retail,Certified,33161,MIAMI SHORES FOOD STOP INC,First-Line Supervisors/Managers of Retail Sales Workers,PAKISTAN
Hospitality,Certified,91709,ARCHIBALDS CHAR-BROILER DRIVE THRU,Cooks; Restaurant,MEXICO
Other Economic Sector,Certified,30096,N P CORPORATION,Pressers; Delicate Fabrics,INDIA
Other Economic Sector,Certified,60603,JPMORGAN CHASE & CO.,Market Research Analysts,INDIA
Not Available,Certified,10004,GOLDMAN; SACHS & CO.,Computer Systems Analysts,INDIA
Educational Services,Certified,84112,UNIVERSITY OF UTAH,Statisticians,CHINA
IT,Certified,07054,ARMO SOLUTIONS INC.,Software Developers; Applications,INDIA
Hospitality,Certified,72032,V1; LLC DBA TGI FRIDAYS #1561,Chefs and Head Cooks,PERU
IT,Certified,75024,INFOSYS TECHNOLOGIES LIMITED,Computer Systems Analysts,INDIA
Hospitality,Certified,770822988,LMMM HOUSTON #47; LTD.,Chefs and Head Cooks,MEXICO
IT,Certified,60173,AMERICAN IT RESOURCE GROUP INC,Computer and Information Systems Managers,INDIA
Construction,Certified,06902,RAM CONSTRUCTION; LLC,Coating; Painting; and Spraying Machine Setters; Operators; and Tenders,ITALY
Other Economic Sector,Certified,12547,TOP SEED LANDSCAPE,Landscaping and Groundskeeping Workers,MEXICO
Construction,Certified,20171,D. WEEKS-ALEXANDER & ASSOCIATES; INC.,Brickmasons and Blockmasons,EL SALVADOR
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Software Developers; Systems Software,INDIA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Computer Software Engineers; Systems Software,INDIA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Electronics Engineers; Except Computer,JORDAN
Educational Services,Certified,75456,MOUNT PLEASANT INDEPENDENT SCHOOL DISTRICT,Elementary School Teachers; Except Special Education,MEXICO
Finance,Certified,10282,GOLDMAN;SACHS & CO.,Financial Analysts,INDIA
Educational Services,Certified,57799,BLACK HILLS STATE UNIVERSITY,Psychology Teachers; Postsecondary,CANADA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,93117,CITRIX ONLINE LLC,Computer Software Engineers; Applications,INDIA
IT,Certified,45458,INDUS VALLEY CONSULTANT; INC.,Software Developers; Applications,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
Health Care,Certified,12208,CAPITAL DISTRICT PSYCHIATRIC CENTER,Psychiatrists,INDIA
IT,Certified,19702,DELASOFT; INC,Operations Research Analysts,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,08830,VEDICSOFT SOLUTIONS INC,Computer Software Engineers; Applications,INDIA
IT,Certified,48334,KYYBA INC,Computer Software Engineers; Applications,INDIA
IT,Certified,08830,REMBROS CORPORATION,Computer Software Engineers; Applications,BELARUS
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
Automotive,Certified,35111,FLEX-N-GATE ALABAMA; LLC,Mechanical Engineers,GERMANY
Not Available,Certified,10282,GOLDMAN;SACHS & CO.,Financial Analysts,ISRAEL
Educational Services,Certified,77459,HOUSTON GIFTED CHILDLIFE DBA SIENNA MONTESSORI SCH,Teachers and Instructors; All Other,PHILIPPINES
IT,Certified,48377,DIGITAL TECHNOLOGY SOLUTIONS LLC,Computer Systems Analysts,INDIA
IT,Certified,20171,ECOMNETS; INC,Software Developers; Applications,INDIA
Hospitality,Certified,48104,PARK SARANG; INC,Cooks; Restaurant,SOUTH KOREA
Health Care,Certified,93001,DR. JORGE F. SANCHEZ; DDS.,Dentists; General,MEXICO
Construction,Certified,10302,MARGARELLA INDUSTRIALCONSTRUCTION; CORP,Cement Masons and Concrete Finishers,MEXICO
IT,Certified,75202,AT&T; INC.; AND ALL OF ITS SUBSIDIARIES AND AFFILIATES,Computer Systems Analysts,INDIA
IT,Certified,94304-1320,VMWARE; INC.,Software Developers; Applications,INDIA
Advanced Mfg,Certified,07701,TINTON FALLS DONUTS ; LLC,Bakers,MEXICO
Advanced Mfg,Certified,75019,ST- ERICSSON INC.,Electronics Engineers; Except Computer,SWEDEN
Retail,Certified,13148,RAM VIJAY ENTERPRISES INC.,First-Line Supervisors/Managers of Retail Sales Workers,INDIA
Aerospace,Certified,92618,MOBILENET SERVICES; INC.,Network and Computer Systems Administrators,INDIA
Advanced Mfg,Certified,53044,KOHLER CO.,Purchasing Agents; Except Wholesale; Retail; and Farm Products,INDIA
Advanced Mfg,Certified,61629-731,CATERPILLAR INC.,Mechanical Engineers,CHINA
Other Economic Sector,Certified,10901,BAKRI CLEANING INC,Laundry and Dry-Cleaning Workers,MEXICO
Advanced Mfg,Certified,92121,QUALCOMM INNOVATION CENTER; INC.,Computer Software Engineers; Systems Software,CHINA
Other Economic Sector,Certified,22044,CAPITOL BUILDING SERVICES; INC.,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,HONDURAS
Retail,Certified,90245,KARL STORZ ENDOSCOPY-AMERICA; INC.,Sales Engineers,UNITED KINGDOM
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,JORDAN
IT,Certified,20171,ISTREAM SOLUTIONS INC,Software Developers; Applications,INDIA
