center city, minnesota, 1
east rancho dominguez, california, 1
shreveport, louisiana, 6
las vegas, nevada, 61
glastonbury, connecticut, 18
cathedral city, california, 1
rancho palos verdes, california, 2
noblesville, indiana, 1
fort valley, georgia, 1
jacksonville, illinois, 2
lombard, illinois, 18
blythewood, south carolina, 1
seagoville, texas, 1
saline, michigan, 16
lorton, virginia, 11
redmond, california, 4
alexandria, virginia, 30
st. bonifacius, minnesota, 1
mount arlington, new jersey, 4
tohatchi, new mexico, 1
madison, mississippi, 1
ridgewood, new york, 4
brazil, indiana, 1
kennewick, washington, 1
iselin, new york, 1
rockton, illinois, 1
napervill, illinois, 1
livingston, texas, 1
topeka, kansas, 11
puerto rico, saipan, northern mariana islands, 1
sturbridge, massachusetts, 1
east meadow, new york, 2
yorba linda, california, 5
mount pleasant, michigan, 1
orosi, california, 3
douglas, arizona, 4
lawrence, massachusetts, 1
west chester, pennsylvania, 14
west burlington, iowa, 3
miami gardens, florida, 1
weston, florida, 18
toms river, new jersey, 2
dover, ohio, 1
leicester, north carolina, 1
amite, louisiana, 1
taft, california, 1
springfield, oregon, 1
anna, illinois, 1
minot, north dakota, 3
warren, new jersey, 20
swainsboro, georgia, 1
port st. lucie, florida, 1
gainesville, texas, 2
kokomo, indiana, 2
conroe, tennessee, 1
wellesley, massachusetts, 3
clinton, indiana, 1
skillman, new jersey, 5
canoga park, california, 5
bucksport, maine, 1
brookhaven, new york, 2
wilsonville, oregon, 6
attalla, alabama, 1
linden, virginia, 1
irvington, new york, 1
ridley park, pennsylvania, 1
brisbane, california, 11
east lansing, michigan, 24
east grand forks, minnesota, 1
lemont, illinois, 5
pawtucket, rhode island, 2
hull, massachusetts, 1
toms river,, new jersey, 1
sparks, maryland, 3
bassett, virginia, 1
lincoln university, pennsylvania, 1
milford, michigan, 5
livingston, tennessee, 1
clear lake, texas, 1
waimanalo, hawaii, 1
cleveland (mayfield heights), ohio, 1
phillipsburg, new jersey, 2
santa cruz, california, 3
port chester, new york, 4
sunnnyvale, california, 1
bolingbrook, illinois, 6
palos hills, illinois, 1
addision, illinois, 1
brecksville, ohio, 9
congers, new york, 1
dedham, massachusetts, 2
harrodsburg, kentucky, 2
palm beach gardens, florida, 5
mclean, virginia, 124
suite 200, north carolina, 1
statesville, north carolina, 1
mettawa, illinois, 10
danville, virginia, 5
bell gardens, california, 3
plesanton, california, 2
king city, california, 1
