[['job_info_work_city', 'job_info_work_state']]
[['Dallas', 'TEXAS']]
[['Palo Alto', 'CALIFORNIA']]
[['TINTON FALLS', 'NEW JERSEY']]
[['Redmond', 'WASHINGTON']]
[['Seneca Falls', 'NEW YORK']]
[['Irvine', 'CALIFORNIA']]
[['Kohler', 'WISCONSIN']]
[['Decatur', 'ILLINOIS']]
[['Suffern', 'NEW YORK']]
[['Austin', 'TEXAS']]
[['Washington', 'DISTRICT OF COLUMBIA']]
[['El Segundo', 'CALIFORNIA']]
[['Basking Ridge', 'NEW JERSEY']]
[['Herndon', 'VIRGINIA']]
[['Sunnyvale', 'CALIFORNIA']]
[['ISELIN', 'NEW JERSEY']]
[['Vance', 'ALABAMA']]
[['Los Angeles', 'CALIFORNIA']]
[['Northville', 'MICHIGAN']]
[['Brooklyn', 'NEW YORK']]
[['Morganton', 'NORTH CAROLINA']]
[['Farmington Hills', 'MICHIGAN']]
[['Redmond', 'WASHINGTON']]
[['Cupertino', 'CALIFORNIA']]
[['San Diego', 'CALIFORNIA']]
[['Fairfax', 'VIRGINIA']]
[['Fairfax', 'VIRGINIA']]
[['Teaneck', 'NEW JERSEY']]
[['Indianapolis', 'INDIANA']]
[['NEW YORK', 'NEW YORK']]
[['Ganado', 'ARIZONA']]
[['Hastings', 'NEBRASKA']]
[['Medford', 'OREGON']]
[['Shreveport', 'LOUISIANA']]
[['Paramus', 'NEW JERSEY']]
[['Nederland', 'COLORADO']]
[['Nederland', 'COLORADO']]
[['Bethesda', 'MARYLAND']]
[['New York', 'NEW YORK']]
[['Chicago', 'ILLINOIS']]
[['Temple Terrace', 'FLORIDA']]
[['Providence', 'RHODE ISLAND']]
[['Mobile', 'ALABAMA']]
[['Monterey', 'CALIFORNIA']]
[['Monterey', 'CALIFORNIA']]
[['San Diego', 'CALIFORNIA']]
[['San Jose', 'CALIFORNIA']]
[['Tampa', 'FLORIDA']]
[['Teaneck', 'NEW JERSEY']]
[['Ridgeland', 'MISSISSIPPI']]
[['Overland Park', 'KANSAS']]
[['Santa Clara', 'CALIFORNIA']]
[['Waukesha', 'WISCONSIN']]
[['Irving', 'TEXAS']]
[['Great Neck', 'NEW YORK']]
[['East Hanover', 'NEW JERSEY']]
[['Cullowhee', 'NORTH CAROLINA']]
[['Clearwater', 'FLORIDA']]
[['East Brunswick', 'NEW JERSEY']]
[['Naperville', 'ILLINOIS']]
[['Edison', 'NEW JERSEY']]
[['Charlotte', 'NORTH CAROLINA']]
[['Austin', 'TEXAS']]
[['San Diego', 'CALIFORNIA']]
[['Wilmington', 'DELAWARE']]
[['New York', 'NEW YORK']]
[['Moonachie', 'NEW JERSEY']]
[['Redwood Shores', 'CALIFORNIA']]
[['Natick', 'MASSACHUSETTS']]
[['Houston', 'TEXAS']]
[['Evergreen Park', 'ILLINOIS']]
[['Mansfield', 'TEXAS']]
